NO,JENJANG,PROGRAM STUDI,STATUS PENDIDIKAN,NAMA PROVINSI,JUMLAH SATUAN PENDIDIKAN,JUMLAH PESERTA,MATA UJI,RERATA NILAI,TAHUN
55,SMA/MA,BAHASA,NEGERI,KALIMANTAN BARAT,3,92,BAHASA INGGRIS,46.76,2019
56,SMA/MA,BAHASA,NEGERI,KALIMANTAN TENGAH,12,318,BAHASA INGGRIS,53.33,2019
57,SMA/MA,BAHASA,NEGERI,KALIMANTAN SELATAN,7,165,BAHASA INGGRIS,53.54,2019
58,SMA/MA,BAHASA,NEGERI,KALIMANTAN TIMUR,12,411,BAHASA INGGRIS,55.86,2019
59,SMA/MA,BAHASA,NEGERI,SULAWESI UTARA,65,1151,BAHASA INGGRIS,42.43,2019
60,SMA/MA,BAHASA,NEGERI,SULAWESI TENGAH,8,171,BAHASA INGGRIS,44.65,2019
61,SMA/MA,BAHASA,NEGERI,SULAWESI SELATAN,39,1203,BAHASA INGGRIS,40.5,2019
62,SMA/MA,BAHASA,NEGERI,SULAWESI TENGGARA,14,302,BAHASA INGGRIS,42.54,2019
63,SMA/MA,BAHASA,NEGERI,MALUKU,7,203,BAHASA INGGRIS,37.93,2019
64,SMA/MA,BAHASA,NEGERI,BALI,52,2246,BAHASA INGGRIS,48.61,2019
65,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA BARAT,40,1056,BAHASA INGGRIS,42.61,2019
66,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA TIMUR,143,4620,BAHASA INGGRIS,39.19,2019
67,SMA/MA,BAHASA,NEGERI,PAPUA,11,267,BAHASA INGGRIS,36.68,2019
68,SMA/MA,BAHASA,NEGERI,BENGKULU,10,304,BAHASA INGGRIS,48.23,2019
69,SMA/MA,BAHASA,NEGERI,MALUKU UTARA,5,118,BAHASA INGGRIS,39.47,2019
70,SMA/MA,BAHASA,NEGERI,BANGKA BELITUNG,6,156,BAHASA INGGRIS,44.75,2019
71,SMA/MA,BAHASA,NEGERI,GORONTALO,5,123,BAHASA INGGRIS,46.28,2019
72,SMA/MA,BAHASA,NEGERI,BANTEN,7,223,BAHASA INGGRIS,53.14,2019
73,SMA/MA,BAHASA,NEGERI,KEPULAUAN RIAU,4,103,BAHASA INGGRIS,64.39,2019
74,SMA/MA,BAHASA,NEGERI,SULAWESI BARAT,10,272,BAHASA INGGRIS,39.64,2019
75,SMA/MA,BAHASA,NEGERI,PAPUA BARAT,11,238,BAHASA INGGRIS,41.29,2019
76,SMA/MA,BAHASA,NEGERI,KALIMANTAN UTARA,2,67,BAHASA INGGRIS,49.14,2019
77,SMA/MA,BAHASA,NEGERI,DKI JAKARTA,18,621,MATEMATIKA,48.03,2019
78,SMA/MA,BAHASA,NEGERI,JAWA BARAT,50,1634,MATEMATIKA,37.51,2019
79,SMA/MA,BAHASA,NEGERI,JAWA TENGAH,75,2334,MATEMATIKA,47.74,2019
80,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,45,MATEMATIKA,55.22,2019
81,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,53,MATEMATIKA,46.46,2019
82,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,MATEMATIKA,-,2019
83,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,MATEMATIKA,-,2019
84,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,1,18,MATEMATIKA,60.56,2019
85,SMA/MA,BAHASA,NEGERI,JAWA TIMUR,100,3114,MATEMATIKA,45.5,2019
86,SMA/MA,BAHASA,NEGERI,ACEH,8,217,MATEMATIKA,33.16,2019
87,SMA/MA,BAHASA,NEGERI,SUMATERA UTARA,14,496,MATEMATIKA,34.58,2019
88,SMA/MA,BAHASA,NEGERI,SUMATERA BARAT,5,127,MATEMATIKA,37.76,2019
89,SMA/MA,BAHASA,NEGERI,RIAU,7,188,MATEMATIKA,40.19,2019
90,SMA/MA,BAHASA,NEGERI,JAMBI,5,130,MATEMATIKA,32.31,2019
91,SMA/MA,BAHASA,NEGERI,SUMATERA SELATAN,1,29,MATEMATIKA,28.79,2019
92,SMA/MA,BAHASA,NEGERI,LAMPUNG,3,101,MATEMATIKA,35.2,2019
93,SMA/MA,BAHASA,NEGERI,KALIMANTAN BARAT,3,92,MATEMATIKA,36.17,2019
94,SMA/MA,BAHASA,NEGERI,KALIMANTAN TENGAH,12,318,MATEMATIKA,35.38,2019
95,SMA/MA,BAHASA,NEGERI,KALIMANTAN SELATAN,7,165,MATEMATIKA,38.59,2019
96,SMA/MA,BAHASA,NEGERI,KALIMANTAN TIMUR,12,411,MATEMATIKA,38.56,2019
97,SMA/MA,BAHASA,NEGERI,SULAWESI UTARA,65,1151,MATEMATIKA,31.33,2019
98,SMA/MA,BAHASA,NEGERI,SULAWESI TENGAH,8,171,MATEMATIKA,30.99,2019
99,SMA/MA,BAHASA,NEGERI,SULAWESI SELATAN,39,1203,MATEMATIKA,31.7,2019
100,SMA/MA,BAHASA,NEGERI,SULAWESI TENGGARA,14,302,MATEMATIKA,33.29,2019
101,SMA/MA,BAHASA,NEGERI,MALUKU,7,203,MATEMATIKA,30.43,2019
102,SMA/MA,BAHASA,NEGERI,BALI,52,2246,MATEMATIKA,36.15,2019
103,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA BARAT,40,1056,MATEMATIKA,32.41,2019
104,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA TIMUR,143,4620,MATEMATIKA,31.94,2019
105,SMA/MA,BAHASA,NEGERI,PAPUA,11,267,MATEMATIKA,28.9,2019
106,SMA/MA,BAHASA,NEGERI,BENGKULU,10,304,MATEMATIKA,37.91,2019
107,SMA/MA,BAHASA,NEGERI,MALUKU UTARA,5,118,MATEMATIKA,32.08,2019
108,SMA/MA,BAHASA,NEGERI,BANGKA BELITUNG,6,156,MATEMATIKA,38.75,2019
109,SMA/MA,BAHASA,NEGERI,GORONTALO,5,123,MATEMATIKA,31.38,2019
110,SMA/MA,BAHASA,NEGERI,BANTEN,7,223,MATEMATIKA,37.83,2019
111,SMA/MA,BAHASA,NEGERI,KEPULAUAN RIAU,4,103,MATEMATIKA,45.19,2019
112,SMA/MA,BAHASA,NEGERI,SULAWESI BARAT,10,272,MATEMATIKA,30.89,2019
113,SMA/MA,BAHASA,NEGERI,PAPUA BARAT,11,238,MATEMATIKA,33.38,2019
114,SMA/MA,BAHASA,NEGERI,KALIMANTAN UTARA,2,67,MATEMATIKA,37.68,2019
115,SMA/MA,BAHASA,NEGERI,DKI JAKARTA,18,621,SASTRA INDONESIA,77.45,2019
116,SMA/MA,BAHASA,NEGERI,JAWA BARAT,50,1634,SASTRA INDONESIA,68.15,2019
117,SMA/MA,BAHASA,NEGERI,JAWA TENGAH,75,2334,SASTRA INDONESIA,76.82,2019
118,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,45,SASTRA INDONESIA,80,2019
119,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,53,SASTRA INDONESIA,72.15,2019
120,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,SASTRA INDONESIA,-,2019
121,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,SASTRA INDONESIA,-,2019
122,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,1,18,SASTRA INDONESIA,80.36,2019
123,SMA/MA,BAHASA,NEGERI,JAWA TIMUR,100,3114,SASTRA INDONESIA,73.75,2019
124,SMA/MA,BAHASA,NEGERI,ACEH,8,217,SASTRA INDONESIA,64.39,2019
125,SMA/MA,BAHASA,NEGERI,SUMATERA UTARA,14,496,SASTRA INDONESIA,63.55,2019
126,SMA/MA,BAHASA,NEGERI,SUMATERA BARAT,5,127,SASTRA INDONESIA,67.3,2019
127,SMA/MA,BAHASA,NEGERI,RIAU,7,188,SASTRA INDONESIA,65.23,2019
128,SMA/MA,BAHASA,NEGERI,JAMBI,5,130,SASTRA INDONESIA,64.56,2019
129,SMA/MA,BAHASA,NEGERI,SUMATERA SELATAN,1,29,SASTRA INDONESIA,66.2,2019
130,SMA/MA,BAHASA,NEGERI,LAMPUNG,3,101,SASTRA INDONESIA,73.12,2019
131,SMA/MA,BAHASA,NEGERI,KALIMANTAN BARAT,3,92,SASTRA INDONESIA,64.43,2019
132,SMA/MA,BAHASA,NEGERI,KALIMANTAN TENGAH,12,318,SASTRA INDONESIA,67.26,2019
133,SMA/MA,BAHASA,NEGERI,KALIMANTAN SELATAN,7,165,SASTRA INDONESIA,70.58,2019
134,SMA/MA,BAHASA,NEGERI,KALIMANTAN TIMUR,12,411,SASTRA INDONESIA,70.66,2019
135,SMA/MA,BAHASA,NEGERI,SULAWESI UTARA,65,1151,SASTRA INDONESIA,54.72,2019
136,SMA/MA,BAHASA,NEGERI,SULAWESI TENGAH,8,171,SASTRA INDONESIA,58.97,2019
137,SMA/MA,BAHASA,NEGERI,SULAWESI SELATAN,39,1203,SASTRA INDONESIA,55.2,2019
138,SMA/MA,BAHASA,NEGERI,SULAWESI TENGGARA,14,302,SASTRA INDONESIA,60.5,2019
139,SMA/MA,BAHASA,NEGERI,MALUKU,7,203,SASTRA INDONESIA,52.25,2019
140,SMA/MA,BAHASA,NEGERI,BALI,52,2246,SASTRA INDONESIA,62.01,2019
141,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA BARAT,40,1056,SASTRA INDONESIA,60.04,2019
142,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA TIMUR,143,4620,SASTRA INDONESIA,57.67,2019
143,SMA/MA,BAHASA,NEGERI,PAPUA,11,267,SASTRA INDONESIA,52.61,2019
144,SMA/MA,BAHASA,NEGERI,BENGKULU,10,304,SASTRA INDONESIA,70.09,2019
145,SMA/MA,BAHASA,NEGERI,MALUKU UTARA,5,118,SASTRA INDONESIA,58.84,2019
146,SMA/MA,BAHASA,NEGERI,BANGKA BELITUNG,6,156,SASTRA INDONESIA,72.58,2019
147,SMA/MA,BAHASA,NEGERI,GORONTALO,5,123,SASTRA INDONESIA,57.55,2019
148,SMA/MA,BAHASA,NEGERI,BANTEN,7,223,SASTRA INDONESIA,68.17,2019
149,SMA/MA,BAHASA,NEGERI,KEPULAUAN RIAU,4,103,SASTRA INDONESIA,67.9,2019
150,SMA/MA,BAHASA,NEGERI,SULAWESI BARAT,10,272,SASTRA INDONESIA,56.43,2019
151,SMA/MA,BAHASA,NEGERI,PAPUA BARAT,11,238,SASTRA INDONESIA,58.83,2019
152,SMA/MA,BAHASA,NEGERI,KALIMANTAN UTARA,2,67,SASTRA INDONESIA,59.66,2019
153,SMA/MA,BAHASA,NEGERI,DKI JAKARTA,18,621,ANTROPOLOGI,72.5,2019
154,SMA/MA,BAHASA,NEGERI,JAWA BARAT,50,1634,ANTROPOLOGI,63.69,2019
155,SMA/MA,BAHASA,NEGERI,JAWA TENGAH,75,2334,ANTROPOLOGI,69.9,2019
156,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,45,ANTROPOLOGI,76.56,2019
157,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,53,ANTROPOLOGI,75.17,2019
158,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,ANTROPOLOGI,-,2019
159,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,ANTROPOLOGI,-,2019
160,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,1,18,ANTROPOLOGI,74,2019
161,SMA/MA,BAHASA,NEGERI,JAWA TIMUR,100,3114,ANTROPOLOGI,68.97,2019
162,SMA/MA,BAHASA,NEGERI,ACEH,8,217,ANTROPOLOGI,54.35,2019
163,SMA/MA,BAHASA,NEGERI,SUMATERA UTARA,14,496,ANTROPOLOGI,56.11,2019
164,SMA/MA,BAHASA,NEGERI,SUMATERA BARAT,5,127,ANTROPOLOGI,63.7,2019
165,SMA/MA,BAHASA,NEGERI,RIAU,7,188,ANTROPOLOGI,67.97,2019
166,SMA/MA,BAHASA,NEGERI,JAMBI,5,130,ANTROPOLOGI,55.87,2019
167,SMA/MA,BAHASA,NEGERI,SUMATERA SELATAN,1,29,ANTROPOLOGI,-,2019
168,SMA/MA,BAHASA,NEGERI,LAMPUNG,3,101,ANTROPOLOGI,64.41,2019
169,SMA/MA,BAHASA,NEGERI,KALIMANTAN BARAT,3,92,ANTROPOLOGI,54.74,2019
170,SMA/MA,BAHASA,NEGERI,KALIMANTAN TENGAH,12,318,ANTROPOLOGI,60.66,2019
171,SMA/MA,BAHASA,NEGERI,KALIMANTAN SELATAN,7,165,ANTROPOLOGI,66.68,2019
172,SMA/MA,BAHASA,NEGERI,KALIMANTAN TIMUR,12,411,ANTROPOLOGI,66.23,2019
173,SMA/MA,BAHASA,NEGERI,SULAWESI UTARA,65,1151,ANTROPOLOGI,51.03,2019
174,SMA/MA,BAHASA,NEGERI,SULAWESI TENGAH,8,171,ANTROPOLOGI,55.62,2019
175,SMA/MA,BAHASA,NEGERI,SULAWESI SELATAN,39,1203,ANTROPOLOGI,50.26,2019
176,SMA/MA,BAHASA,NEGERI,SULAWESI TENGGARA,14,302,ANTROPOLOGI,53.38,2019
177,SMA/MA,BAHASA,NEGERI,MALUKU,7,203,ANTROPOLOGI,43.05,2019
178,SMA/MA,BAHASA,NEGERI,BALI,52,2246,ANTROPOLOGI,63.68,2019
179,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA BARAT,40,1056,ANTROPOLOGI,53.63,2019
180,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA TIMUR,143,4620,ANTROPOLOGI,51.52,2019
181,SMA/MA,BAHASA,NEGERI,PAPUA,11,267,ANTROPOLOGI,40.48,2019
182,SMA/MA,BAHASA,NEGERI,BENGKULU,10,304,ANTROPOLOGI,63.94,2019
183,SMA/MA,BAHASA,NEGERI,MALUKU UTARA,5,118,ANTROPOLOGI,45.35,2019
184,SMA/MA,BAHASA,NEGERI,BANGKA BELITUNG,6,156,ANTROPOLOGI,61.15,2019
185,SMA/MA,BAHASA,NEGERI,GORONTALO,5,123,ANTROPOLOGI,53.97,2019
186,SMA/MA,BAHASA,NEGERI,BANTEN,7,223,ANTROPOLOGI,60.07,2019
187,SMA/MA,BAHASA,NEGERI,KEPULAUAN RIAU,4,103,ANTROPOLOGI,67.49,2019
188,SMA/MA,BAHASA,NEGERI,SULAWESI BARAT,10,272,ANTROPOLOGI,50.7,2019
189,SMA/MA,BAHASA,NEGERI,PAPUA BARAT,11,238,ANTROPOLOGI,47.38,2019
190,SMA/MA,BAHASA,NEGERI,KALIMANTAN UTARA,2,67,ANTROPOLOGI,70.21,2019
191,SMA/MA,BAHASA,NEGERI,DKI JAKARTA,18,621,BAHASA DAN SASTRA INDONESIA,81.35,2019
192,SMA/MA,BAHASA,NEGERI,JAWA BARAT,50,1634,BAHASA DAN SASTRA INDONESIA,72.28,2019
193,SMA/MA,BAHASA,NEGERI,JAWA TENGAH,75,2334,BAHASA DAN SASTRA INDONESIA,79.55,2019
194,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,45,BAHASA DAN SASTRA INDONESIA,88,2019
195,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,53,BAHASA DAN SASTRA INDONESIA,73.17,2019
196,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,BAHASA DAN SASTRA INDONESIA,-,2019
197,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,BAHASA DAN SASTRA INDONESIA,-,2019
198,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,1,18,BAHASA DAN SASTRA INDONESIA,80.25,2019
199,SMA/MA,BAHASA,NEGERI,JAWA TIMUR,100,3114,BAHASA DAN SASTRA INDONESIA,83.5,2019
200,SMA/MA,BAHASA,NEGERI,ACEH,8,217,BAHASA DAN SASTRA INDONESIA,52.19,2019
201,SMA/MA,BAHASA,NEGERI,SUMATERA UTARA,14,496,BAHASA DAN SASTRA INDONESIA,48.62,2019
202,SMA/MA,BAHASA,NEGERI,SUMATERA BARAT,5,127,BAHASA DAN SASTRA INDONESIA,73.5,2019
203,SMA/MA,BAHASA,NEGERI,RIAU,7,188,BAHASA DAN SASTRA INDONESIA,59.37,2019
204,SMA/MA,BAHASA,NEGERI,JAMBI,5,130,BAHASA DAN SASTRA INDONESIA,48.29,2019
205,SMA/MA,BAHASA,NEGERI,SUMATERA SELATAN,1,29,BAHASA DAN SASTRA INDONESIA,43,2019
206,SMA/MA,BAHASA,NEGERI,LAMPUNG,3,101,BAHASA DAN SASTRA INDONESIA,57.86,2019
207,SMA/MA,BAHASA,NEGERI,KALIMANTAN BARAT,3,92,BAHASA DAN SASTRA INDONESIA,77.14,2019
208,SMA/MA,BAHASA,NEGERI,KALIMANTAN TENGAH,12,318,BAHASA DAN SASTRA INDONESIA,63.53,2019
209,SMA/MA,BAHASA,NEGERI,KALIMANTAN SELATAN,7,165,BAHASA DAN SASTRA INDONESIA,73.9,2019
210,SMA/MA,BAHASA,NEGERI,KALIMANTAN TIMUR,12,411,BAHASA DAN SASTRA INDONESIA,72.53,2019
211,SMA/MA,BAHASA,NEGERI,SULAWESI UTARA,65,1151,BAHASA DAN SASTRA INDONESIA,51.63,2019
212,SMA/MA,BAHASA,NEGERI,SULAWESI TENGAH,8,171,BAHASA DAN SASTRA INDONESIA,47.92,2019
213,SMA/MA,BAHASA,NEGERI,SULAWESI SELATAN,39,1203,BAHASA DAN SASTRA INDONESIA,38.31,2019
214,SMA/MA,BAHASA,NEGERI,SULAWESI TENGGARA,14,302,BAHASA DAN SASTRA INDONESIA,57.75,2019
215,SMA/MA,BAHASA,NEGERI,MALUKU,7,203,BAHASA DAN SASTRA INDONESIA,37.38,2019
216,SMA/MA,BAHASA,NEGERI,BALI,52,2246,BAHASA DAN SASTRA INDONESIA,66.75,2019
217,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA BARAT,40,1056,BAHASA DAN SASTRA INDONESIA,64.82,2019
218,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA TIMUR,143,4620,BAHASA DAN SASTRA INDONESIA,50.24,2019
219,SMA/MA,BAHASA,NEGERI,PAPUA,11,267,BAHASA DAN SASTRA INDONESIA,34.39,2019
220,SMA/MA,BAHASA,NEGERI,BENGKULU,10,304,BAHASA DAN SASTRA INDONESIA,68.74,2019
221,SMA/MA,BAHASA,NEGERI,MALUKU UTARA,5,118,BAHASA DAN SASTRA INDONESIA,63.48,2019
222,SMA/MA,BAHASA,NEGERI,BANGKA BELITUNG,6,156,BAHASA DAN SASTRA INDONESIA,58.5,2019
223,SMA/MA,BAHASA,NEGERI,GORONTALO,5,123,BAHASA DAN SASTRA INDONESIA,61.24,2019
224,SMA/MA,BAHASA,NEGERI,BANTEN,7,223,BAHASA DAN SASTRA INDONESIA,65.59,2019
225,SMA/MA,BAHASA,NEGERI,KEPULAUAN RIAU,4,103,BAHASA DAN SASTRA INDONESIA,65.78,2019
226,SMA/MA,BAHASA,NEGERI,SULAWESI BARAT,10,272,BAHASA DAN SASTRA INDONESIA,54.4,2019
227,SMA/MA,BAHASA,NEGERI,PAPUA BARAT,11,238,BAHASA DAN SASTRA INDONESIA,60.58,2019
228,SMA/MA,BAHASA,NEGERI,KALIMANTAN UTARA,2,67,BAHASA DAN SASTRA INDONESIA,81,2019
229,SMA/MA,BAHASA ,SWASTA,DKI JAKARTA,7,82,BAHASA INDONESIA,67.34,2019
230,SMA/MA,BAHASA,SWASTA,JAWA BARAT,18,610,BAHASA INDONESIA,58.1,2019
231,SMA/MA,BAHASA ,SWASTA,JAWA TENGAH,36,1207,BAHASA INDONESIA,64.68,2019
232,SMA/MA,BAHASA,SWASTA,DI YOGYAKARTA,6,108,BAHASA INDONESIA,70.52,2019
233,SMA/MA,BAHASA,SWASTA,DI YOGYAKARTA,-,-,BAHASA INDONESIA,-,2019
234,SMA/MA,BAHASA,SWASTA,DI YOGYAKARTA,-,-,BAHASA INDONESIA,-,2019
235,SMA/MA,BAHASA,SWASTA,DI YOGYAKARTA,1,8,BAHASA INDONESIA,71.75,2019
236,SMA/MA,BAHASA,SWASTA,DI YOGYAKARTA,-,-,BAHASA INDONESIA,-,2019
237,SMA/MA,BAHASA ,SWASTA,JAWA TIMUR,79,4039,BAHASA INDONESIA,58.88,2019
238,SMA/MA,BAHASA,SWASTA,ACEH,-,-,BAHASA INDONESIA,-,2019
239,SMA/MA,BAHASA ,SWASTA,SUMATERA UTARA,-,-,BAHASA INDONESIA,-,2019
240,SMA/MA,BAHASA,SWASTA,SUMATERA BARAT,1,20,BAHASA INDONESIA,54.7,2019
241,SMA/MA,BAHASA ,SWASTA,RIAU,-,-,BAHASA INDONESIA,-,2019
242,SMA/MA,BAHASA,SWASTA,JAMBI,-,-,BAHASA INDONESIA,-,2019
243,SMA/MA,BAHASA ,SWASTA,SUMATERA SELATAN,-,-,BAHASA INDONESIA,-,2019
244,SMA/MA,BAHASA,SWASTA,LAMPUNG,2,42,BAHASA INDONESIA,60.33,2019
245,SMA/MA,BAHASA ,SWASTA,KALIMANTAN BARAT,1,19,BAHASA INDONESIA,42.84,2019
246,SMA/MA,BAHASA,SWASTA,KALIMANTAN TENGAH,1,13,BAHASA INDONESIA,51.85,2019
247,SMA/MA,BAHASA ,SWASTA,KALIMANTAN SELATAN,4,126,BAHASA INDONESIA,55.19,2019
248,SMA/MA,BAHASA,SWASTA,KALIMANTAN TIMUR,2,61,BAHASA INDONESIA,60.33,2019
249,SMA/MA,BAHASA ,SWASTA,SULAWESI UTARA,13,143,BAHASA INDONESIA,49.86,2019
250,SMA/MA,BAHASA,SWASTA,SULAWESI TENGAH,4,146,BAHASA INDONESIA,50.23,2019
